texto,classificacao
"oi como voce esta",0
"ganha dinheiro rapido agora",1
"reuniao amanha as 10",0
"click aqui para ganhar milhoes",1
"vc foi selecionado ganhe premio",1
"vamos tomar um cafe",0
"você herdou uma fortuna",1
"relatório de vendas anexo",0
"confirme seus dados bancarios agora",1
"projeto da proxima semana",0
"desconto incrivel 90 porcento",1
"arquivo com as planilhas",0
"nao perca oportunidade de ouro",1
"fala tudo bem com voce",0
"compre agora 50 porcento off",1
"reuniao urgente sobre o projeto",0
"voce ganhou um iphone gratis",1
"passa o codigo de verificacao",1
"resultado das vendas janeiro",0
"nao deixe passar esta chance",1
"como vai meu amigo",0
"libere sua conta agora",1
"apresentacao de novos produtos",0
"voce foi escolhido para receber premio",1
"dados atualizados em anexo",0
"clique para reclamar seu bonus",1
"pode deixar comigo",0
"aumente seus ganhos rapidamente",1
"email com resumo mensal",0
"faça uma doacao agora",1
"tudo certo para sexta",0
"ganhe dinheiro sem fazer nada",1
"proposta de novo projeto",0
"cuidado link suspeito",1
"marcar reuniao segunda",0
"virei a fortuna do seu dia",1
"responda enquanto ha tempo",1
"temos que conversar sobre isso",0
